mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
IT Fundamentals,"Command Line & Web Infra, Web Markup","Domain Name System (DNS), Forms & Inputs, CLI Navigation","Fri|18:00-20:00, Mon|09:00-11:00, Thu|15:00-17:00, Sat|09:00-11:00",2,1,Senior IT Student,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Control Structures, Computer Networks Basics, Debugging & Execution, Digital Logic & Data Representation","Loop Control, Network Topologies, Syntax Errors, Data Encoding (ASCII/Unicode)","Wed|13:00-15:00, Mon|09:00-11:00",3,1,4,4,0.1712
"PE 1: PATH FIT 1 - Movement Enhancement, PE 2: PATH FIT 2 - Fitness Exercises",,,"Mon|09:00-11:00, Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00",3,1,Instructor,"Computer Programming, IT Fundamentals, PE 1: PATH FIT 1 - Movement Enhancement, PE 2: PATH FIT 2 - Fitness Exercises",Control Structures,Conditional Logic,"Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",9,6,4,4,0.6106
IT Fundamentals,"Web Styling, Command Line & Web Infra, Web Markup","Box Model, Domain Name System (DNS), CLI Navigation, Forms & Inputs, Media & Tables","Sat|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00, Thu|15:00-17:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Client-Side Scripting","CLI Navigation, HTTP Request Methods, DOM Manipulation","Wed|13:00-15:00, Tue|10:00-12:00, Thu|15:00-17:00, Fri|18:00-20:00",6,6,4,4,0.4565
"IT Fundamentals, NSTP 2: Civic Welfare Training Service","Web Styling, Web Markup, Client-Side Scripting","Responsive Layouts, Flexbox & Grid, CSS Selectors, Media & Tables, DOM Manipulation","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, IT Fundamentals, Introduction to Computing","Digital Logic & Data Representation, Operating Systems & Architecture, Web Styling","Binary/Octal/Hex Conversions, Process Management, CSS Selectors","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00, Thu|15:00-17:00",4,3,4,4,0.3176
"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Operating Systems & Architecture, Command Line & Web Infra","Customer Journey Mapping, OS Fundamentals, HTTP Request Methods","Wed|13:00-15:00, Tue|10:00-12:00",4,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Web Markup, Command Line & Web Infra, Client-Side Scripting, Operating Systems & Architecture","Customer Journey Mapping, Forms & Inputs, HTTP Request Methods, JavaScript Syntax, OS Fundamentals","Tue|10:00-12:00, Wed|13:00-15:00",12,3,4,4,0.8034
"Computer Programming, NSTP 2: Civic Welfare Training Service","Modular Programming, Data Structures, Debugging & Execution","Variable Scope & Lifetime, Basic Sorting Algorithms, Array Creation, Parameters & Return Values, Syntax Errors","Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00, Tue|10:00-12:00",4,1,Senior IT Student,"Computer Programming, IT Fundamentals",Web Styling,"Flexbox & Grid, Box Model","Fri|18:00-20:00, Tue|10:00-12:00",1,0,3,3,0.1952
GE EL 108: Philippine Indigenous Communities,,,"Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00, Wed|13:00-15:00",4,1,Senior IT Student,"GE EL 108: Philippine Indigenous Communities, Intro to Human Computer Interaction, Introduction to Computing","Interaction Design & Cognitive Models, Operating Systems & Architecture","Interaction Design Frameworks, File Systems & Permissions","Wed|13:00-15:00, Thu|15:00-17:00, Fri|18:00-20:00",1,0,4,3,0.4919
"Computer Programming, NSTP 2: Civic Welfare Training Service","Data Structures, Modular Programming","1D/2D Manipulation, Function Definitions, Array Creation","Thu|15:00-17:00, Fri|18:00-20:00",2,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Debugging & Execution, Control Structures","Basic Sorting Algorithms, Console Debugging Techniques, Conditional Logic, Linear/Binary Searching","Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00",3,3,5,4,0.2995
"Intro to Human Computer Interaction, Introduction to Computing, IT Fundamentals","Command Line & Web Infra, Client-Side Scripting, Interaction Design & Cognitive Models","HTTP Request Methods, Event Listeners, Interaction Design Frameworks","Wed|13:00-15:00, Mon|09:00-11:00, Fri|18:00-20:00, Sat|09:00-11:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","HCI Principles & Guidelines, User Research & Behavioral Mapping, Operating Systems & Architecture","System Prototype Proposal, User Research & Analysis, OS Fundamentals, File Systems & Permissions","Thu|15:00-17:00, Mon|09:00-11:00",12,11,3,4,0.3274
NSTP 2: Civic Welfare Training Service,,,"Sat|09:00-11:00, Wed|13:00-15:00",3,1,Senior IT Student,"IT Fundamentals, Introduction to Computing, Intro to Human Computer Interaction","Web Styling, Prototyping & UI Tooling, History & Hardware Evolution, User Research & Behavioral Mapping","Responsive Layouts, Box Model, Figma UI Design, Computing Generations, User Flow Diagrams","Wed|13:00-15:00, Sat|09:00-11:00",3,0,3,4,0.3363
"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Web Styling, Client-Side Scripting, Interaction Design & Cognitive Models","Customer Journey Mapping, Responsive Layouts, DOM Manipulation, Interaction Design Frameworks, JavaScript Syntax","Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction","Web Markup, User Research & Behavioral Mapping, HCI Principles & Guidelines","Media & Tables, User Flow Diagrams, HCI Principles & Paradigms","Tue|10:00-12:00, Wed|13:00-15:00, Sat|09:00-11:00",3,2,5,4,0.4096
"Intro to Human Computer Interaction, Introduction to Computing, PE 1: PATH FIT 1 - Movement Enhancement","Digital Logic & Data Representation, Interaction Design & Cognitive Models, History & Hardware Evolution","Data Encoding (ASCII/Unicode), Boolean Logic Gates, Human Information Processing, Computing Generations","Mon|09:00-11:00, Wed|13:00-15:00",3,1,Instructor,"IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing, PE 1: PATH FIT 1 - Movement Enhancement","Digital Logic & Data Representation, History & Hardware Evolution, Interaction Design & Cognitive Models, HCI Principles & Guidelines","Boolean Logic Gates, Computing Generations, Data Encoding (ASCII/Unicode), Human Information Processing, System Prototype Proposal","Mon|09:00-11:00, Wed|13:00-15:00",6,3,4,4,0.8165
"Introduction to Computing, Intro to Human Computer Interaction","HCI Principles & Guidelines, Prototyping & UI Tooling, High-Fidelity Design & Documentation, Operating Systems & Architecture","Guideline Categories of HCI, Figma UI Design, High-Fidelity Prototyping, Process Management","Tue|10:00-12:00, Mon|09:00-11:00, Thu|15:00-17:00",2,1,Senior IT Student,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction, Introduction to Computing","Prototyping & UI Tooling, Web Markup, HCI Principles & Guidelines, High-Fidelity Design & Documentation, Operating Systems & Architecture","Figma UI Design, Forms & Inputs, Guideline Categories of HCI, High-Fidelity Prototyping, Process Management","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",3,0,5,4,0.6828
"Intro to Human Computer Interaction, IT Fundamentals, Computer Programming","Web Styling, High-Fidelity Design & Documentation, Debugging & Execution","CSS Selectors, High-Fidelity Prototyping, Logic Troubleshooting","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",3,1,Senior IT Student,"Computer Programming, IT Fundamentals, Intro to Human Computer Interaction","Web Styling, Debugging & Execution, High-Fidelity Design & Documentation, Control Structures","CSS Selectors, Console Debugging Techniques, High-Fidelity Prototyping, Iteration Patterns, Logic Troubleshooting","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",3,2,5,3,0.8224
"PE 2: PATH FIT 2 - Fitness Exercises, PE 1: PATH FIT 1 - Movement Enhancement",,,"Sat|09:00-11:00, Wed|13:00-15:00, Tue|10:00-12:00",3,1,Instructor,"IT Fundamentals, PE 2: PATH FIT 2 - Fitness Exercises","Client-Side Scripting, Web Markup, Web Styling","DOM Manipulation, HTML5 Semantic Elements, Box Model","Tue|10:00-12:00, Thu|15:00-17:00, Wed|13:00-15:00",10,9,4,4,0.4987
