mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
Introduction to Computing,"Operating Systems & Architecture, History & Hardware Evolution, Computer Networks Basics","File Systems & Permissions, Memory & Storage Types, Client-Server Architecture","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","High-Fidelity Design & Documentation, User Research & Behavioral Mapping, Digital Logic & Data Representation","High-Fidelity Prototyping, Customer Journey Mapping, User Flow Diagrams, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode)","Fri|18:00-20:00, Wed|13:00-15:00, Mon|09:00-11:00",4,3,5,4,0.3259
Intro to Human Computer Interaction,High-Fidelity Design & Documentation,"Design Systems Documentation, High-Fidelity Prototyping","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",2,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals","User Research & Behavioral Mapping, Interaction Design & Cognitive Models, Prototyping & UI Tooling, Command Line & Web Infra, Web Styling","User Research & Analysis, Customer Journey Mapping, Interaction Design Frameworks, Wireframe Sketching, HTTP Request Methods, CSS Selectors","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",7,2,5,4,0.2759
"Computer Programming, IT Fundamentals","Debugging & Execution, Modular Programming, Client-Side Scripting, Command Line & Web Infra, Web Styling","Syntax Errors, Logic Troubleshooting, Function Definitions, DOM Manipulation, JavaScript Syntax, HTTP Request Methods","Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, Introduction to Computing","Debugging & Execution, Modular Programming, Operating Systems & Architecture, Computer Networks Basics, Digital Logic & Data Representation","Console Debugging Techniques, Syntax Errors, Variable Scope & Lifetime, Process Management, Network Topologies, OSI Model Layers","Sat|09:00-11:00, Wed|13:00-15:00",11,3,3,4,0.3455
"Computer Programming, Introduction to Computing","Data Structures, Modular Programming, Operating Systems & Architecture, History & Hardware Evolution","Linear/Binary Searching, Function Definitions, Variable Scope & Lifetime, OS Fundamentals, Computing Generations","Thu|15:00-17:00, Mon|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00",5,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Data Structures, Modular Programming, Debugging & Execution, HCI Principles & Guidelines, Interaction Design & Cognitive Models","Linear/Binary Searching, 1D/2D Manipulation, Function Definitions, Variable Scope & Lifetime, Syntax Errors, HCI Principles & Paradigms","Sat|09:00-11:00, Mon|09:00-11:00",4,2,3,4,0.3775
Computer Programming,"Debugging & Execution, Control Structures","Console Debugging Techniques, Loop Control, Conditional Logic","Tue|10:00-12:00, Mon|09:00-11:00, Fri|18:00-20:00",5,1,Instructor,"Computer Programming, Introduction to Computing","Control Structures, Debugging & Execution, Data Structures, Operating Systems & Architecture","Loop Control, Iteration Patterns, Syntax Errors, 1D/2D Manipulation, Basic Sorting Algorithms, OS Fundamentals","Thu|15:00-17:00, Fri|18:00-20:00",3,2,3,4,0.4521
Computer Programming,"Debugging & Execution, Data Structures","Logic Troubleshooting, 1D/2D Manipulation","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",4,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Control Structures, Computer Networks Basics, Operating Systems & Architecture, History & Hardware Evolution","Linear/Binary Searching, Loop Control, Client-Server Architecture, OS Fundamentals, Memory & Storage Types","Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",13,5,4,4,0.3532
Introduction to Computing,"Operating Systems & Architecture, Digital Logic & Data Representation","File Systems & Permissions, Binary/Octal/Hex Conversions, Boolean Logic Gates","Tue|10:00-12:00, Wed|13:00-15:00, Thu|15:00-17:00",3,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Computer Networks Basics, Operating Systems & Architecture, High-Fidelity Design & Documentation, User Research & Behavioral Mapping","Computing Generations, Processor Architecture, Network Topologies, Process Management, OS Fundamentals, Design Systems Documentation","Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",14,10,4,4,0.3571
"Computer Programming, IT Fundamentals","Data Structures, Modular Programming, Command Line & Web Infra, Web Styling, Web Markup","Basic Sorting Algorithms, 1D/2D Manipulation, Function Definitions, Domain Name System (DNS), Flexbox & Grid, Media & Tables","Fri|18:00-20:00, Thu|15:00-17:00, Mon|09:00-11:00",2,1,Instructor,"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Computer Networks Basics, History & Hardware Evolution, Control Structures","Boolean Logic Gates, Network Topologies, OSI Model Layers, Memory & Storage Types, Iteration Patterns, Conditional Logic","Thu|15:00-17:00, Mon|09:00-11:00",6,3,4,4,0.2455
"Intro to Human Computer Interaction, IT Fundamentals","Interaction Design & Cognitive Models, User Research & Behavioral Mapping, HCI Principles & Guidelines, Client-Side Scripting, Web Styling","Human Information Processing, Customer Journey Mapping, HCI Principles & Paradigms, JavaScript Syntax, Box Model","Wed|13:00-15:00, Sat|09:00-11:00, Mon|09:00-11:00",3,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Interaction Design & Cognitive Models, User Research & Behavioral Mapping, History & Hardware Evolution, Digital Logic & Data Representation","Interaction Design Frameworks, Customer Journey Mapping, User Flow Diagrams, Processor Architecture, Data Encoding (ASCII/Unicode)","Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",9,3,4,4,0.3491
"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Prototyping & UI Tooling, User Research & Behavioral Mapping","Event Listeners, DOM Manipulation, Wireframe Sketching, User Flow Diagrams, Customer Journey Mapping","Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00, Fri|18:00-20:00",4,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction","Client-Side Scripting, Web Styling, Command Line & Web Infra, High-Fidelity Design & Documentation, User Research & Behavioral Mapping, HCI Principles & Guidelines","Event Listeners, JavaScript Syntax, Box Model, Flexbox & Grid, Domain Name System (DNS), Design Systems Documentation","Sat|09:00-11:00, Tue|10:00-12:00",2,1,4,3,0.5792
Intro to Human Computer Interaction,"High-Fidelity Design & Documentation, Interaction Design & Cognitive Models","Design Systems Documentation, High-Fidelity Prototyping, Interaction Design Frameworks","Sat|09:00-11:00, Mon|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",3,1,Instructor,"Introduction to Computing, IT Fundamentals","History & Hardware Evolution, Client-Side Scripting, Web Styling, Command Line & Web Infra","Computing Generations, Processor Architecture, JavaScript Syntax, DOM Manipulation, Flexbox & Grid, CSS Selectors","Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00, Fri|18:00-20:00",15,14,5,4,0.1081
